fuel,temperature,velocity
14.96,-3.0,15.3
14.10,-1.8,16.4
23.76,-10.0,41.2
13.20,0.7,9.7
18.60,-5.1,19.3
16.79,-6.3,11.4
21.83,-15.5,5.9
16.25,-4.2,24.3
20.98,-8.8,14.7
16.88,-2.3,16.1
