age,height
0,51.4
0.5,65.0
1.0,73.1
1.5,81.2
2.0,90.0
2.5,92.8
3.0,98.8
3.5,100.4
4.0,105.2
4.5,109.5
5.0,111.7
5.5,115.5
6.0,117.8
6.5,122.9
7.0,124.3
7.5,128.9
8.0,130.8
8.5,134.3
9.0,137.0
9.5,140.1
10.0,141.9
